titleRestaurant,adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,average_price,price_min
Karanlıkta Yemek,"Akyal Sitesi Cikmazi 10 Sanayi Mahallesi Kağıthane, İstanbul 34000 Türkiye,İnternet sitesi",no input,Akşam Yemeği,20,+90 532 342 25 38,125-125,5.0,Rezervasyonlar,125.0,125.0
Meyhane Rumeli,"Rumeli Cd. No:15, Kat:7 Halaskargazi Mahallesi, İstanbul 34371 Türkiye,İnternet sitesi,Menü",Türk,Türk,1,+90 533 721 30 60,50-200,5.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",125.0,125.0
Garden Mezze,"Binbirdirek, Peykhane Cd. no 16 Sultanahmet binbirdirek, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Deniz Mahsülleri,Barbekü","Biftek Restoranı, Deniz Mahsülleri, Barbekü, Türk, Füzyon",1112,+90 532 349 02 38,71-177,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",124.0,124.0
Pera Antakya,"Balyoz sok no 14, İstanbul 34430 Türkiye,İnternet sitesi,Menü","Lübnan,Akdeniz,Türk","Lübnan, Akdeniz, Türk, Ortadoğu",501,+90 533 434 18 86,106-142,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal",124.0,124.0
Sultan Garden Cafe&Restaurant,"Alemdar Mah. Catal Çesme Sok. No: 11 Fatih, Sultanahmet, İstanbul 34000 Türkiye,İnternet sitesi","Akdeniz,Barbekü,Avrupa","Barbekü, Akdeniz, Avrupa, Doğu Avrupa, Türk",254,+90 507 237 59 26,35-213,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal",124.0,124.0
Grill Branche,"Barbaros Mahallesi, Ahlat Sokak, A Blok No: 2/13 Ataşehir, Watergarden, İstanbul 34710 Türkiye,İnternet sitesi,Menü",Biftek Restoranı,"Öğle Yemeği, Akşam Yemeği",10,+90 216 510 22 38,,5.0,Rezervasyonlar,124.0,124.0
Yakamoz Terrace Cafe Restaurant,"Sultanahmet bab-i ali cad. basmuhasip sok. no :13.34110 On The Top Of Great Fortune Hotel Terrace, İstanbul 34093 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Deniz Mahsülleri,Akdeniz","Biftek Restoranı, Akdeniz, Barbekü, Türk, Deniz Mahsülleri",641,+90 212 520 71 32,25-220,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",122.5,122.5
Marbella Cafe Restaurant,"Küçük Ayasofya Mah. Çayıroğlu Sok. No: 32/B Sultanahmet, İstanbul 34440 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Barbekü,Türk","Barbekü, Deniz Mahsülleri, Türk, Sağlıklı",125,+90 212 638 09 69,77-162,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",119.5,119.5
Pierre Loti Street Cafe & Restaurant,"Piyer Loti Cd. Emin Sinan Mahallesi no 45/A Fatih, İstanbul 34000 Türkiye,İnternet sitesi","Biftek Restoranı,Pizza,Akdeniz","Biftek Restoranı, Pizza, Akdeniz, Avrupa, Mangal, Türk",122,+90 506 133 02 54,26-213,5.0,"Vegan Seçenekleri, Vejetaryen Dostu",119.5,119.5
Cukurcuma Antiques & Cafe,"Çukur Cuma Cd. No:52A Firuzağa Mahallesi, İstanbul 34425 Türkiye,İnternet sitesi","Kafe,Avrupa,Türk","Kafe, Avrupa, Türk",5,+90 212 249 52 88,50-180,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",115.0,115.0
N Terrace,"Ticarethane Sok. No: 13 Sultanahmet, İstanbul 34110 Türkiye,İnternet sitesi,Menü","Türk,Vejetaryen Dostu,Vegan Seçenekleri",Türk,536,+90 212 514 39 16,49-180,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",114.5,114.5
Nakibey Döner,"Barbaros, Begonya Sk. No:3 Nidakule Kuzey, İstanbul 34750 Türkiye,İnternet sitesi",Türk,"Öğle Yemeği, Akşam Yemeği",1133,+90 216 629 44 44,,5.0,"Paket Yemek, Masaya Servis",113.0,113.0
Hanedan Aras Restaurant Bistro,"Bestekar Sokak No 8 birkunlar iş hanı, İstanbul 34340 Türkiye,İnternet sitesi","Biftek Restoranı,Deniz Mahsülleri,Akdeniz","Türk, Biftek Restoranı, Deniz Mahsülleri, Akdeniz, Barbekü",249,+90 541 532 70 00,66-160,5.0,"Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",113.0,113.0
Bionda,"Teşvikiye Mahallesi Vali Konagi Caddesi No: 56A Nişantaşı, İstanbul 34365 Türkiye,İnternet sitesi,Menü",Uluslararası,Uluslararası,1,+90 542 278 10 64,75-150,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",112.5,112.5
Akın Balık Evde,"Merkez Mahallesi. Firuze Sokak. No:1E,1F DAP Ofisleri Bumerang Ofis Dış Dükkan Kağıthane/İstanbul, İstanbul 34000 Türkiye,İnternet sitesi",no input,"Deniz Mahsülleri, Akdeniz, Türk",1,+90 212 295 60 50,75-150,5.0,"Öğle Yemeği, Akşam Yemeği",112.5,112.5
Divella Bistro Restaurant,"Cankurtaran Mah. Akbıyık Cad. Adliye sok. No:11/A, İstanbul 34122 Türkiye,İnternet sitesi","İtalyan,Biftek Restoranı,Deniz Mahsülleri","İtalyan, Biftek Restoranı, Deniz Mahsülleri, Akdeniz, Türk, Sağlıklı",766,+90 531 985 66 21,64-156,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",110.0,110.0
Olive Anatolian Restaurant,"Ebu Suud Cad. No:18, İstanbul 34110 Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Sağlıklı, Ortadoğu",3180,+90 212 528 13 43,17-199,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",108.0,108.0
Gülhane Şark Sofrası,"AlayKöşkü Cad. No: 22, İstanbul 34110 Türkiye,İnternet sitesi","Deniz Mahsülleri,Uluslararası,Akdeniz","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Ortadoğu, Sağlıklı, Uluslararası",3012,+90 542 433 66 52,71-142,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",106.5,106.5
İstanbul Kitchen Cafe Restaurant,"Alemdar mah, Prof. Kazım İsmail Gürkan Cd. no 7 Fatih, İstanbul 34122 Türkiye,İnternet sitesi","Deniz Mahsülleri,Barbekü,Türk","Türk, Deniz Mahsülleri, Barbekü",426,+90 539 377 07 43,71-142,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",106.5,106.5
Lounge Point / Terrace 86,"235 Sokak, No 19 Atakent, Küçükçekmece, İstanbul 34303 Türkiye,İnternet sitesi,Menü","Kafe,Uluslararası,Türk","Kafe, Uluslararası, Türk",17,+90 212 471 81 11,71-142,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",106.5,106.5
Old House Restaurant,"Utangaç Sokak No: 23/A Cankurtaran Mah., İstanbul 34000 Türkiye,İnternet sitesi","Deniz Mahsülleri,Türk,Füzyon","Deniz Mahsülleri, Türk, Füzyon",2040,+90 212 516 66 61,35-177,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Kosher, Glütensiz Seçenekler",106.0,106.0
Layale Samiye - Tarihi Sultan Sofrasi,"Adnan Menderes Bulvarı No: 85 Molla Gurani Mahallesi, Fatih, İstanbul 34093 Türkiye,İnternet sitesi,Menü",no input,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",4,+90 552 662 11 18,35-177,5.0,"Dışarı Yemek Servisi, Paket Yemek, Rezervasyonlar, Açık Havada Oturma, Özel Yemek, Oturma, Otopark Var, Cadde Üzerinde Park, Ücretsiz Yol Üstü Olmayan Park Yeri, Televizyon, Dijital Ödemeler, Ücretsiz Wifi, Masaya Servis",106.0,106.0
Deraliye Terrace,"Ticarethane Sk. No: 13 Sura Design Hotel, İstanbul 34110 Türkiye,İnternet sitesi,Menü","Akdeniz,Türk,Vejetaryen Dostu","Türk, Akdeniz",173,+90 212 514 39 16,34-170,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal",102.0,102.0
Olea Pizzeria,"Tomtom Mah. Yenicarsi Cad. No:46/A Beyoğlu, İstanbul Türkiye,İnternet sitesi,Menü","İtalyan,Pizza,Akdeniz","İtalyan, Pizza, Akdeniz",32,+90 542 294 51 25,50-150,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",100.0,100.0
Ioki Ulus,"Kültür Mahallesi, Ahmet Adnan Saygun Cd. No:7 Ulus, İstanbul 34340 Türkiye,İnternet sitesi,Menü",Japon,Japon,1,+90 212 323 24 14,50-150,5.0,"Öğle Yemeği, Akşam Yemeği",100.0,100.0
Sarmam,"Kılıcali Pasa, Akarsu Yks. 41/A, İstanbul 34125 Türkiye,İnternet sitesi",Türk,Türk,1,+90 212 244 00 44,50-150,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",100.0,100.0
Vamos Estambul Cafe & Restaurant,"Ticarethane Sokak No 39/42 Alemdar mahhalesi, İstanbul 34120 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Mangal",929,+90 537 835 75 00,64-135,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal",99.5,99.5
TORA,"Harbiye Mahallesi, Atiye Sok. No: 1 Şişli, Genç Apt., İstanbul 34365 Türkiye,İnternet sitesi","Japon,Türk","Japon, Türk",35,+90 212 261 58 91,57-142,5.0,"Gece Eğlencesi, İçecekler, Öğle Yemeği, Akşam Yemeği",99.5,99.5
Shamor Restaurant,"Kemankeş Cd. no:57-59 D:no:57-59 Kemankeş Karamustafa Paşa Mahallesi, İstanbul 34425 Türkiye,İnternet sitesi,Menü","Fransız,Deniz Mahsülleri,Akdeniz","Fransız, Deniz Mahsülleri, Akdeniz, Türk, Gastropub",6,+90 212 244 93 04,70-125,5.0,"Akşam Yemeği, Gece Eğlencesi, İçecekler",97.5,97.5
Byzantion Bistro Restaurant,"Ordu Caddesi, Yesil Tulumba Sok, No.9/1 Laleli / Fatih, İstanbul 34134 Türkiye,İnternet sitesi,Menü","İtalyan,Çin,Biftek Restoranı","İtalyan, Biftek Restoranı, Çin, Deniz Mahsülleri, Barbekü, Türk, Sağlıklı, Orta Avrupa, Napoli, Emilia, Campania, Sicilya, Lombard, Liguria, Kuzey İtalya, Güney İtalya",1026,+90 212 522 74 96,50-142,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",96.0,96.0
Sofia Kebab House,"Istanbul Çatalçeşme Sokak Alemdar Mahallesi Fatih/istanbul, İstanbul 34000 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Avrupa","Deniz Mahsülleri, Akdeniz, Türk, Ortadoğu, Avrupa",108,+90 530 514 18 21,50-142,5.0,Vejetaryen Dostu,96.0,96.0
Hagia Sophia Turkish Cuisine,"Küçük Ayasofya Mah. Kadirga Limanı Cad. No: 97 Fatih, İstanbul 34122 Türkiye,İnternet sitesi","Barbekü,Türk","Barbekü, Türk",35,+90 212 638 22 66,57-135,5.0,"Akşam Yemeği, Öğle Yemeği, İçecekler",96.0,96.0
The Artisan Craft,"Caferağa Mah. Ağabey Sk. No:42, İstanbul 34710 Türkiye,İnternet sitesi","İtalyan,Türk","İtalyan, Türk",3,+90 216 330 90 40,40-150,5.0,"Öğle Yemeği, Akşam Yemeği",95.0,95.0
Mivan Restaurant Cafe,"Piyerloti Caddesi No: 34 Sultanahmet, İstanbul 34126 Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Akdeniz, Türk, Avrupa, Sağlıklı, Ortadoğu, Çorbalar",1125,+90 212 517 99 29,26-162,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",94.0,94.0
Shadow Kitchen & Bar,"Cankurtaran Mahallesi, Akbıyık Cad. No: 26 Fatih, İstanbul 34400 Türkiye,İnternet sitesi","Pizza,Deniz Mahsülleri,Uluslararası","Pizza, Deniz Mahsülleri, Türk, Ortadoğu, Uluslararası",86,+90 541 904 34 73,18-170,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Kosher, Glütensiz Seçenekler",94.0,94.0
Middle East Cafe Restaurant,"Ticarethane Sokak, No: 15, İstanbul 34122 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Barbekü","Türk, Deniz Mahsülleri, Akdeniz, Barbekü, Ortadoğu",87,+90 542 693 77 08,57-128,5.0,Vejetaryen Dostu,92.5,92.5
852 Hong Kong Cafe Restaurant,"Şevkibey Sokak No:44 Caferağa Moda Kadıköy, İstanbul 1600 Türkiye,İnternet sitesi","Çin,Asya","Çin, Asya",28,+90 216 345 86 24,35-150,5.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",92.5,92.5
Rakofoli,"Kürekçiler Sok. No: 12 Arap Camii Mah., İstanbul 34100 Türkiye,İnternet sitesi,Menü","Barbekü,Türk,Mangal","Barbekü, Türk, Mangal",217,+90 212 249 23 04,60-120,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",90.0,90.0
En La Luna Terrace,"Seyit hasan sokak no:8 Cankurtaran mah., İstanbul 34000 Türkiye,İnternet sitesi","Deniz Mahsülleri,Uluslararası,Akdeniz","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Uluslararası",208,+90 212 518 72 67,50-130,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",90.0,90.0
Park Balık Çekmeköy,"Şehit Ünal Kalafat Cad. NO:32 Madenler Mah, İstanbul 34776 Türkiye,İnternet sitesi","Deniz Mahsülleri,Türk,Çorbalar","Deniz Mahsülleri, Türk, Çorbalar",2,+90 216 594 12 01,30-150,5.0,"Öğle Yemeği, Akşam Yemeği",90.0,90.0
Antakya Restaurant,"Mimar Hayrettin Mah. Divan-i Ali Sok. No: 12C Beyazıt, İstanbul 34400 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Ortadoğu, Sağlıklı",2961,+90 212 518 01 17,68-111,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",89.5,89.5
Zeugma Terrace,"Alemdar Mah. Yerebatan Cad. Salkım Söğüt Sokak. No:16 sultan Ahmet, İstanbul 34110 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Barbekü,Avrupa","Biftek Restoranı, Bar, Şarap Barı, Sağlıklı, Barbekü, Avrupa",139,+90 537 932 42 25,43-136,5.0,"Vegan Seçenekleri, Vejetaryen Dostu",89.5,89.5
Bitlisli,"Hocapaşa Mah. Hocapaşa Camii Sok. No:2/B Sirkeci-Fatih, İstanbul Türkiye,İnternet sitesi","Barbekü,Türk,Mangal","Türk, Mangal, Ortadoğu, Barbekü, Sağlıklı",2444,+90 212 513 77 63,35-142,5.0,"Vejetaryen Dostu, Helal",88.5,88.5
600galata,"Bereketzade Mahallesi, Bankalar Caddesi, Şair Eşref Paşa Sokak No: 4 Galata, Beyoglu, Walton Hotels, İstanbul 34421 Türkiye,İnternet sitesi","Biftek Restoranı,Pizza,Deniz Mahsülleri","Biftek Restoranı, Pizza, Deniz Mahsülleri, Akdeniz, Bar",41,+90 212 243 63 05,35-142,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",88.5,88.5
Moyaj Restaurant,"Teşvikiye Mahallesi Valikonağı Caddesi Sinoplu Şehit Cemal Sokak No:9 34365 TZL Suites - S Floor, İstanbul 34365 Türkiye,İnternet sitesi","Akdeniz,Türk","Akdeniz, Türk",113,+90 212 444 55 02,25-150,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",87.5,87.5
Markus Tavern,"Hayriye Cd. No:16 Firuzağa Mahalles, İstanbul 34425 Türkiye,İnternet sitesi,Menü","Bar,Bar,Gastropub","Bar, Bar, Gastropub, Sokak Yemekleri",4,+90 544 252 00 62,25-150,5.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",87.5,87.5
Massa Bistro,"Alemdar Mah. Hacı Tahsin Bey Sk. No : 11, İstanbul 34110 Türkiye,İnternet sitesi","Deniz Mahsülleri,Barbekü,Yemekli barlar","Deniz Mahsülleri, Barbekü, Yemekli barlar, Bira restoranları",1133,+90 212 522 42 00,43-128,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",85.5,85.5
Sultanahmet Ottoman Fish Terrace House,"Kutlu Gün Sk. No:49, İstanbul 34122 Türkiye,İnternet sitesi","Deniz Mahsülleri,Vejetaryen Dostu",Deniz Mahsülleri,671,+90 534 263 98 46,50-121,5.0,Vejetaryen Dostu,85.5,85.5
Lekker Cafe Restaurant,"Alemdar Mahallesi, Çatalçeşme Sokak No: 7 Sultanahmet Fatih, İstanbul 34110 Türkiye,İnternet sitesi","Akdeniz,Avrupa,Türk","Türk, Akdeniz, Avrupa, Ortadoğu",501,+90 531 655 31 04,43-128,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",85.5,85.5
Efezade Restaurant,"Darüssade Sk. No:2 Hoca Paşa Mahallesi, İstanbul 34110 Türkiye,İnternet sitesi",Türk,Türk,50,+90 534 795 71 50,50-121,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",85.5,85.5
Elit Ocakbaşı,"Katipmustafa Çelebi Mahallesi Hasnun Galip Sokak 23/2 Beyoğlu, İstanbul Türkiye,İnternet sitesi","Akdeniz,Barbekü,Türk","Akdeniz, Barbekü, Türk, Azerbaycan",422,+90 212 243 79 34,50-120,5.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",85.0,85.0
Tershane,"Tersane Cd. No:24 Arap Cami Mahallesi, İstanbul Türkiye,İnternet sitesi","Türk,Ortadoğu,Helal",Helal,271,+90 212 292 30 10,,5.0,"Öğle Yemeği, Akşam Yemeği",85.0,85.0
Las Tapas Restaurant,"alemdar mah. çatalçeşme sokak no:5/A Fatih/istanbul, İstanbul 34110 Türkiye,İnternet sitesi,Menü","Uluslararası,Türk","Uluslararası, Türk",99,+90 212 526 46 46,50-120,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",85.0,85.0
Asian Garden,"Turgut Özal Millet Cad., No:148/B Topkapı Mah, İstanbul 34093 Türkiye,İnternet sitesi","Çin,Asya,Kore","Çin, Asya, Kore, Endonezya, Orta Asya",29,+90 541 628 22 02,20-150,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",85.0,85.0
Besin Kasap,"Merkez Mh. Abidei Hürriyet Cd. No: 151/4 Şişli Camii Pasajı, İstanbul 34384 Türkiye,İnternet sitesi,Menü","Amerikan,Avrupa,Türk","Amerikan, Avrupa, Türk",25,+90 212 234 52 18,20-150,5.0,"İçecekler, Öğle Yemeği, Akşam Yemeği",85.0,85.0
Istanbul Anatolian Cuisine,"Kadirga Liman Caddesi, Cami Sokak No:7 Küçük Ayasofya mahallesi, İstanbul 34122 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Ortadoğu",1083,+90 536 764 92 64,17-150,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",83.5,83.5
Tarihi Karaköy Tavukçusu,"Kemankeş Mah. Dericiler Sok. No: 6 Karaköy, İstanbul 34425 Türkiye,İnternet sitesi,Menü","Kafe,Akdeniz,Avrupa","Türk, Kafe, Akdeniz, Avrupa",57,+90 533 266 19 51,15-150,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler, Kosher",82.5,82.5
Lounge at Park Hyatt,"Teşvikiye Mah. Bronz Sokak No: 4 Şişli, Park Hyatt, İstanbul 34367 Türkiye,İnternet sitesi","Uluslararası,Akdeniz,Türk","Uluslararası, Akdeniz, Türk, Şarap Barı, Ortadoğu",4,+90 212 315 12 34,45-120,5.0,"İçecekler, Kahvaltı, Öğle Yemeği, Akşam Yemeği",82.5,82.5
Mashuka Ocakbaşı,"Şehit Muhtar Mahallesi, İstiklal Caddesi, İmam Adnan Sokak No: 16 Beyoğlu, İstanbul 34435 Türkiye,İnternet sitesi","Türk,Mangal","Türk, Mangal",3,+90 535 344 25 08,45-120,5.0,"İçecekler, Öğle Yemeği, Akşam Yemeği",82.5,82.5
Three Partners Cafe & Restaurant,"küçükayasofya mahhalesi kaleci sokak no 5 Fatih, İstanbul Türkiye,İnternet sitesi,Menü","Kafe,Deniz Mahsülleri,Akdeniz","Kafe, Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Sağlıklı, Ortadoğu, Orta Asya",1036,+90 212 516 16 04,57-106,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",81.5,81.5
Arch Bistro,"Küçükayasofya Mahallesi, Kadırga Limanı Cad. No: 113 Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Türk,Mangal,Bar","Türk, Mangal, Bar, Şarap Barı",931,+90 532 490 47 24,21-142,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",81.5,81.5
Last Ottoman Cafe & Restaurant,"Hocapaşa mah . Darüssaade Sokak No 10 Sirkeci Fatih İstanbul, İstanbul 34110 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Sağlıklı, Mangal",283,+90 534 280 30 34,57-106,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",81.5,81.5
Grace Roof Restaurant,"Binbirdirek mah. Terzihane sok:15/6 Sultanahmet fatih, İstanbul 34122 Türkiye,İnternet sitesi","İtalyan,Biftek Restoranı,Deniz Mahsülleri","İtalyan, Biftek Restoranı, Deniz Mahsülleri, Akdeniz, Türk",128,+90 533 432 98 63,57-106,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",81.5,81.5
Lokanta 1741,"Alemdar Mah. Profesör Kazım İsmail Gürkan Cad. No: 34 Alemdar Mah., İstanbul 34110 Türkiye,İnternet sitesi,Menü","Akdeniz,Türk,Çağdaş","Vejetaryen Dostu, Vegan Seçenekleri",110,+90 533 145 17 41,,5.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",81.5,81.5
Pera Mutfak,"Evliya Celebi Mahallesi, Refik Saydam Caddesi, İstanbul 34430 Türkiye,İnternet sitesi","Türk,Vejetaryen Dostu",Türk,78,+90 212 243 99 89,21-142,5.0,Vejetaryen Dostu,81.5,81.5
Old Ottoman Cafe & Restaurant,"Cagaloglu Hamam Sokak No 17/J, İstanbul 34122 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk, Sağlıklı",2601,+90 212 514 55 00,10-150,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",80.0,80.0
Ottoman terrace fish & meat,"Fatih Sultanahmet Cankurtaran Mah Kutlugün Sk. No:51-4, İstanbul 34122 Türkiye,İnternet sitesi","Akdeniz,Vejetaryen Dostu,Vegan Seçenekleri",Akdeniz,400,+90 536 406 73 90,40-120,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",80.0,80.0
Köşk 1981 Cafe & Restaurant,"Cankurtaran mahallesi Akbıyık Caddesi Adliye sokak no:2, İstanbul 34122 Türkiye,İnternet sitesi","Uluslararası,Akdeniz,Barbekü","Uluslararası, Akdeniz, Barbekü, Türk, Ortadoğu",261,+90 532 419 57 47,30-130,5.0,"Vegan Seçenekleri, Helal",80.0,80.0
Le Cuistot Studio,"Adnan Kahveci Cad. No:31 A/B Tarabya / Sarıyer, İstanbul Türkiye,İnternet sitesi,Menü","Fransız,Belçika,Akdeniz","Fransız, Belçika, Avrupa, Akdeniz",59,+90 212 223 83 55,10-150,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",80.0,80.0
The Barbecue Steakhouse & Brasserie,"Osmaniye Mah. Referans Bakırköy C Blok No: 20 Bakırköy, İstanbul 34144 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Avrupa,Orta Avrupa","Brunch, İçecekler, Kahvaltı, Öğle Yemeği, Akşam Yemeği",1,+90 212 801 57 53,,5.0,"Rezervasyonlar, Açık Havada Oturma, Özel Yemek, Oturma, Otopark Var, Cadde Üzerinde Park, Vale Otopark, Ücretsiz Yol Üstü Olmayan Park Yeri, Televizyon, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, Ücretsiz Wifi, Kredi Kartı Geçerli",80.0,80.0
Küçük Kulüp Meyhane,"Teşvikiye Mahallesi, Poyracık Sokak No: 47/1 Şişli, İstanbul 34365 Türkiye,İnternet sitesi,Menü","Türk,Lokanta","Türk, Lokanta",1,+90 212 219 10 30,60-100,5.0,"Akşam Yemeği, Gece Eğlencesi, İçecekler",80.0,80.0
TurguT Kebab Restaurant,"Akbıyık Cd. No: 64 Sultanahmet Mahallesi, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Akdeniz,Barbekü,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",553,+90 212 517 22 27,,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",78.0,78.0
İstanbul Turkish Restaurant,"Cankurtaran Mahallesi Akbıyık Caddesi No 81 Sultanahmet Fatih, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Barbekü","Akdeniz, Türk, Şarap Barı, Ortadoğu, Yemekli barlar, Deniz Mahsülleri, Barbekü",69,+90 541 941 89 77,42-114,5.0,"Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",78.0,78.0
Galatasaray Kalamış Sosyal Tesisleri Kalamış Restoran,"Fener Kalamış Cad. Fenerbahçe Mahallesi, İstanbul 34762 Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Mangal, Şarap Barı",49,+90 216 414 99 92,5-150,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",77.5,77.5
Gaja Garden,"Şenlikköy Mahallesi, Florya Caddesi No: 27/A Bakırköy, İstanbul 34188 Türkiye,İnternet sitesi,Menü","Pizza,Fast Food,Akdeniz","Pizza, Fast Food, Akdeniz, Türk, Mangal",701,+90 212 426 42 52,50-100,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",75.0,75.0
Kumkapi Kosem Fish Restaurant,"Buyuk komurcu sokak no 6 Muhsinehatun Mahallesi fatih, İstanbul 34093 Türkiye,İnternet sitesi","Deniz Mahsülleri,Vejetaryen Dostu",Deniz Mahsülleri,211,+90 530 953 79 21,55-95,5.0,Vejetaryen Dostu,75.0,75.0
